Title,Polish Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Shelves,Bookshelves,My Review
test,Ciemny las,Cixin Liu,,8,"8,0",,,,,,,Przeczytane,,
test,Problem trzech ciał,Cixin Liu,,8,"7,5",,,,,,,Przeczytane,,
test,Księstwo Różanego Krzyża,Marcin Świątkowski,,6,"7,0",,,,,,,Przeczytane,,
test,Psy Pana,Marcin Świątkowski,,6,"6,6",,,,,,,Przeczytane,,
test,Ilion,Dan Simmons,,,"7,7",,,,,,,Chcę przeczytać,,
test,Star Wars: Darth Bane. Dynastia Zła,Drew Karpyshyn,,8,"7,8",,,,,,,Przeczytane,Star Wars,
test,Star Wars: Darth Bane. Zasada Dwóch,Drew Karpyshyn,,8,"7,6",,,,,,,Przeczytane,Star Wars,
test,Star Wars: Darth Bane. Droga zagłady,Drew Karpyshyn,,8,"7,9",,,,,,,Przeczytane,Star Wars,
test,Ogień i krew. Część 2,George R.R. Martin,,8,"7,1",,,,,,,Przeczytane,Historia Targaryenów,
test,Ogień i krew. Część 1,George R.R. Martin,,8,"7,3",,,,,,,Przeczytane,Historia Targaryenów,
test,Świat Śmierci,B.V. Larson,,,"6,8",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Burz,B.V. Larson,,,"7,1",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Pancerza,B.V. Larson,,,"7,1",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Ciemności,B.V. Larson,,,"7,0",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Krwi,B.V. Larson,,,"6,9",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Buntowników,B.V. Larson,,,"7,0",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat ludzi,B.V. Larson,,,"7,0",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Maszyn,B.V. Larson,,,"6,8",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Postępu,B.V. Larson,,,"6,7",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat Pyłu,B.V. Larson,,,"6,8",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Świat stali,B.V. Larson,,,"6,8",,,,,,,Przeczytane,Legion Nieśmiertelnych,
test,Dar anomalii. Księga 1,Paweł Zbroszczyk,,,"7,4",,,,,,,Przeczytane,,
test,Posłaniec,Krzysztof Barrek,,7,"7,2",,,,,,,Przeczytane,,
test,Pierwotny,Małgorzata Lisińska,,,"6,9",,,,,,,Przeczytane,,
test,Czarownica,Małgorzata Lisińska,,,"7,1",,,,,,,Przeczytane,,
test,Tropiciel,Małgorzata Lisińska,,,"6,8",,,,,,,Przeczytane,,
test,Star Wars: Mistrz i uczeń,Claudia Gray,,8,"7,3",,,,,,,Przeczytane,,
test,Star Wars: Thrawn: Zdrada,Timothy Zahn,,,"7,5",,,,,,,Chcę przeczytać,,
test,Star Wars: Thrawn: Sojusze,Timothy Zahn,,,"6,6",,,,,,,Chcę przeczytać,,
test,Star Wars: Thrawn,Timothy Zahn,,,"7,9",,,,,,,Chcę przeczytać,,
test,Do gwiazd,Brandon Sanderson,,,"8,0",,,,,,,Chcę przeczytać,,
test,Kapitularz Diuną,Frank Herbert,,,"7,1",,,,,,,Przeczytane,Kroniki Diuny,
test,Heretycy Diuny,Frank Herbert,,,"7,3",,,,,,,Przeczytane,Kroniki Diuny,
test,Bóg Imperator Diuny,Frank Herbert,,,"7,3",,,,,,,Przeczytane,Kroniki Diuny,
test,Dzieci Diuny,Frank Herbert,,,"7,4",,,,,,,Przeczytane,Kroniki Diuny,
test,Mesjasz Diuny,Frank Herbert,,,"7,3",,,,,,,Przeczytane,Kroniki Diuny,
test,Diuna,Frank Herbert,,10,"8,2",,,,,,,Przeczytane,Kroniki Diuny,
test,Wiedźmin. Szpony i kły,"Andrzej W. Sawicki, Przemysław Gul",,,"6,8",,,,,,,Chcę przeczytać,,
test,Sezon burz,Andrzej Sapkowski,,,"7,4",,,,,,,Przeczytane,Wiedźmin,
test,Pani Jeziora,Andrzej Sapkowski,,,"8,2",,,,,,,Przeczytane,Wiedźmin,
test,Wieża Jaskółki,Andrzej Sapkowski,,,"8,3",,,,,,,Przeczytane,Wiedźmin,
test,Chrzest ognia,Andrzej Sapkowski,,,"8,4",,,,,,,Przeczytane,Wiedźmin,
test,Czas pogardy,Andrzej Sapkowski,,,"8,3",,,,,,,Przeczytane,Wiedźmin,
test,Krew elfów,Andrzej Sapkowski,,,"8,2",,,,,,,Przeczytane,Wiedźmin,
test,Miecz przeznaczenia,Andrzej Sapkowski,,,"8,4",,,,,,,Przeczytane,Wiedźmin,
test,Ostatnie życzenie,Andrzej Sapkowski,,,"8,4",,,,,,,Przeczytane,"Posiadam, Wiedźmin",
test,Taniec ze smokami. Część 2,George R.R. Martin,,,"8,2",,,,,,,Przeczytane,Pieśń Lodu i Ognia,
test,Taniec ze smokami. Część 1,George R.R. Martin,,,"8,0",,,,,,,Przeczytane,Pieśń Lodu i Ognia,
test,Uczta dla wron: Sieć spisków,George R.R. Martin,,,"8,0",,,,,,,Przeczytane,Pieśń Lodu i Ognia,
test,Uczta dla wron: Cienie śmierci,George R.R. Martin,,,"8,0",,,,,,,Przeczytane,Pieśń Lodu i Ognia,
test,Nawałnica mieczy: Krew i złoto,George R.R. Martin,,,"8,5",,,,,,,Przeczytane,Pieśń Lodu i Ognia,
test,Nawałnica mieczy: Stal i śnieg,George R.R. Martin,,,"8,4",,,,,,,Przeczytane,Pieśń Lodu i Ognia,
test,Star Wars: Darth Plagueis,James Luceno,,9,"7,8",,,,,,,Przeczytane,Star Wars,
test,Starcie królów,George R.R. Martin,,,"8,4",,,,,,,Przeczytane,Pieśń Lodu i Ognia,
test,Gra o tron,George R.R. Martin,,9,"8,5",,,,,,,Przeczytane,"Posiadam, Pieśń Lodu i Ognia",
