ID,Polski Tytuł,Autor,ISBN,Cykl,Średnia ocena,Liczba ocen,Czytelnicy,Opinie,Ocena użytkownika,Link,Data przeczytania,Na półkach Głowne,Na półkach Pozostałe,Tytuł
5014044,Renegaci,Craig Alanson,,Expeditionary Force (tom 7),"7,3",179,334,13,,https://lubimyczytac.pl/ksiazka/5014044/renegaci,,Przeczytane,,test
4993409,Mavericks,Craig Alanson,,Expeditionary Force (tom 6),"7,1",190,384,10,,https://lubimyczytac.pl/ksiazka/4993409/mavericks,,Przeczytane,,test
4977674,Godzina zero,Craig Alanson,,Expeditionary Force (tom 5),"7,3",219,383,9,,https://lubimyczytac.pl/ksiazka/4977674/godzina-zero,,Przeczytane,,test
4972110,Black Ops,Craig Alanson,,Expeditionary Force (tom 4),"7,2",254,430,13,,https://lubimyczytac.pl/ksiazka/4972110/black-ops,,Przeczytane,,test
4978271,Kłopoty na Paradise,Craig Alanson,,Expeditionary Force (tom 3.5),"6,9",163,310,11,,https://lubimyczytac.pl/ksiazka/4978271/klopoty-na-paradise,,Przeczytane,,test
4959327,Paradise,Craig Alanson,,Expeditionary Force (tom 3),"7,2",303,498,23,,https://lubimyczytac.pl/ksiazka/4959327/paradise,,Przeczytane,,test
4939443,SpecOps,Craig Alanson,,Expeditionary Force (tom 2),"7,2",349,548,29,,https://lubimyczytac.pl/ksiazka/4939443/specops,,Przeczytane,,test
4924157,Dzień Kolumba,Craig Alanson,,Expeditionary Force (tom 1),"7,3",466,996,69,,https://lubimyczytac.pl/ksiazka/4924157/dzien-kolumba,,Przeczytane,,test
5095506,Świat zieleni,B.V. Larson,,Legion nieśmiertelnych (tom 15),"7,1",121,323,5,,https://lubimyczytac.pl/ksiazka/5095506/swiat-zieleni,2024-10-13,Przeczytane,Legion Nieśmiertelnych,test
5087700,Świat Skraju,B.V. Larson,,Legion nieśmiertelnych (tom 14),"7,1",125,339,7,,https://lubimyczytac.pl/ksiazka/5087700/swiat-skraju,,Przeczytane,Legion Nieśmiertelnych,test
5076376,Świat Szkła,B.V. Larson,,Legion nieśmiertelnych (tom 13),"7,1",143,350,8,,https://lubimyczytac.pl/ksiazka/5076376/swiat-szkla,,Przeczytane,Legion Nieśmiertelnych,test
5074232,Świat Klonów,B.V. Larson,,Legion nieśmiertelnych (tom 12),"7,0",154,356,8,,https://lubimyczytac.pl/ksiazka/5074232/swiat-klonow,,Przeczytane,Legion Nieśmiertelnych,test
5113703,Tatuażysta z Auschwitz,Heather Morris,,Tatuażysta z Auschwitz (tom 1),"7,2",18557,31045,2391,1,https://lubimyczytac.pl/ksiazka/5113703/tatuazysta-z-auschwitz,,Przeczytane,,test
5099156,Los pokonanych,Kel Kade,,Tajne proroctwo (tom 1),"7,0",294,875,74,6,https://lubimyczytac.pl/ksiazka/5099156/los-pokonanych,,Przeczytane,,test
130409,Front burzowy,Jim Butcher,,Akta Harry'ego Dresdena (tom 1),"6,6",2162,4469,268,6,https://lubimyczytac.pl/ksiazka/130409/front-burzowy,,Przeczytane,,test
303278,Placówka Basilisk,David Weber,,Honor Harrington (tom 1),"7,6",733,1472,84,,https://lubimyczytac.pl/ksiazka/303278/placowka-basilisk,,Chcę przeczytać,,test
5026569,Ciemny las,Cixin Liu,,Wspomnienie o przeszłości Ziemi (tom 2),"8,0",4601,7989,501,8,https://lubimyczytac.pl/ksiazka/5026569/ciemny-las,,Przeczytane,,test
4233532,Problem trzech ciał,Cixin Liu,,Wspomnienie o przeszłości Ziemi (tom 1),"7,5",8054,17223,1039,8,https://lubimyczytac.pl/ksiazka/4233532/problem-trzech-cial,,Przeczytane,,test
5100417,Księstwo Różanego Krzyża,Marcin Świątkowski,,Psy Pana (tom 2),"7,0",413,719,79,6,https://lubimyczytac.pl/ksiazka/5100417/ksiestwo-rozanego-krzyza,,Przeczytane,,test
5077100,Psy Pana,Marcin Świątkowski,,Psy Pana (tom 1),"6,6",802,1541,198,6,https://lubimyczytac.pl/ksiazka/5077100/psy-pana,,Przeczytane,,test
5034019,Ilion,Dan Simmons,,Ilion/Olimp (tom 1),"7,7",999,3278,117,,https://lubimyczytac.pl/ksiazka/5034019/ilion,,Chcę przeczytać,,test
51717,Star Wars: Darth Bane. Dynastia Zła,Drew Karpyshyn,,The Essential Legends Collection (tom 0),"7,8",1419,2171,101,8,https://lubimyczytac.pl/ksiazka/51717/star-wars-darth-bane-dynastia-zla,,Przeczytane,Star Wars,test
51716,Star Wars: Darth Bane. Zasada Dwóch,Drew Karpyshyn,,Trylogia Dartha Bane'a (tom 2),"7,6",1541,2303,98,8,https://lubimyczytac.pl/ksiazka/51716/star-wars-darth-bane-zasada-dwoch,,Przeczytane,Star Wars,test
136434,Star Wars: Darth Bane. Droga zagłady,Drew Karpyshyn,,Trylogia Dartha Bane'a (tom 1),"7,9",878,1414,77,8,https://lubimyczytac.pl/ksiazka/136434/star-wars-darth-bane-droga-zaglady,,Przeczytane,Star Wars,test
5034334,Ogień i krew. Część 2,George R.R. Martin,,Historia Targaryenów (tom 1.2),"7,1",2203,4379,183,8,https://lubimyczytac.pl/ksiazka/5034334/ogien-i-krew-czesc-2,,Przeczytane,Historia Targaryenów,test
5034333,Ogień i krew. Część 1,George R.R. Martin,,Historia Targaryenów (tom 1.1),"7,3",3109,6390,327,8,https://lubimyczytac.pl/ksiazka/5034333/ogien-i-krew-czesc-1,,Przeczytane,Historia Targaryenów,test
4966319,Świat Śmierci,B.V. Larson,,Legion nieśmiertelnych (tom 5),"6,8",276,505,15,,https://lubimyczytac.pl/ksiazka/4966319/swiat-smierci,,Przeczytane,Legion Nieśmiertelnych,test
